Station,Location,Capacity (MW),Primary Fuel,,
TPS Jamshoro,Jamshoro,880.00,RFO+Gas,,
TPS Guddu (Units 5-10),Guddu,600.00,Gas,,
TPS Guddu (Units 11-13),Guddu,415.00,Gas,,
TPS Guddu (Units 14-16),Guddu,747.00,Gas,,
TPS Quetta,Quetta,28.00,Gas,,
TPS Muzaffargarh,Muzaffargarh,1350.00,Gas,,
GTPS Faisalabad,Faisalabad,144.00,Gas,,
TPS Nandipur,Gujranwala,567.00,Gas,,
FBC Lakhra,Lakhra,150.00,Coal,,
Lal Pir Power,Mehmood Kot,362.00,RFO,,
Pak Gen. Power,Mehmood Kot,365.00,RFO,,
Altern Energy,Fateh Jang,31.00,Gas,,
Fauji Kabirwala,Kabirwala,170.00,Gas,,
Habibullah Coastal,Quetta,155.00,Gas,,
Hub Power,Hub,1292.00,RFO,,
Japan Power,Raiwind,120.00,,,
KAPCO,Kot Addu,1600.00,Gas,,
Kohinoor Energy Ltd,Lahore,131.00,RFO,,
Rousch Power,Sidhnai,450.00,Gas,,
Saba Power Company Ltd,Sheikhupura,136.00,RFO,,
Southern Electric Power Company Ltd,Raiwind,117.00,RFO,,
TNB Liberty Power,Daharki,235.00,Gas,,
Uch Power,Murad Jamali,586.00,Gas,,
Attock Gen.,Attock Morgah,165.00,RFO,,
Atlas Power,Sheikhupura,224.00,RFO,,
Engro Power Gen. Qadirpur,Qadirpur,227.00,Gas,,
Saif Power,Sahiwal,225.00,Gas,,
Orient Power,Balloki,225.00,Gas,,
Nishat Power,Qasur,202.00,RFO,,
Nishat Chunian,Qasur,202.00,RFO,,
Sapphire Electric,Muridke,235.00,Gas,,
Halmore Power,Bhikki,225.00,Gas,,
Narowal Energy,Narowal,214.00,RFO,,
Liberty Power Tech.,Faisalabad,202.00,RFO,,
Foundation Power,Daharki,179.00,Gas,,
Davis Energen.,Jhang,12.00,Gas,,
Uch-II Power,Murad Jamali,404.00,Low BTU Gas,,
Sahiwal Coal Power Plant,Sahiwal,1320.00,Bituminous Coal,,
QATPL (Bhikki),Bhikki,1180.00,RLNG,,
NPPMCL (Haveli Bahadur Shah),HBS,1230.00,RLNG,, Punjab
NPPMCL (Balloki),Balloki,1223.00,RLNG,,
Port Qasim Electric Power,Port Qasim,1320.00,Bituminous Coal,,
Reshma Power,Raiwind,97.00,RFO/HSFO,,
Gulf Powergen,Gujranwala,84.00,RFO/HSFO,,
China Power Hub,Lasbella,1320.00,Imported Coal,,
Engro Powergen Thar,Tharparkar,660.00,Thar Coal,,
Bin Qasim TPS-I,Karachi,1050.00,Dual,,
Bin Qasim TPS-II,Karachi,572.00,Dual,,
Korangi Town GTPS-II,Karachi,107.00,Gas,,
Site GTPS-II,Karachi,107.00,Gas,,
Korangi CCPP,Karachi,248.00,Gas,,
Gul Ahmed,Karachi,136.00,RFO,,
Tapal Energy,Karachi,126.00,RFO,,
SNPCL-I (IPP-2002),Jamshoro,52.00,Gas,,
SNPCL-II (IPP-2002),Jamshoro,52.00,Gas,,
Anoud Power (IGC),Karachi,36.00,RFO/Gas,,
Intl. Steel Limited (CPP),Karachi,19.00,Gas,,
Intl. Ind. Limited (CPP),Karachi,4.00,Gas,,
FFBL Power,Karachi,52.00,Imported/Local Coal,,
Lotte Chemicals,Karachi,48.00,Gas,,
Lucky Cement,Lakki Marwat,16.00,Gas,,
Lucky Electric Power Co. Ltd,Bin Qasim,660.00,Imported/Local Coal,,
Punjab Thermal (PTPL),Jhang,1263.00,RLNG,,
Thal Nova Coal Power Project,Tharparkar,330.00,Thar coal,,
